                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1347,                 3.2885,                 1.6123,                0.00429,                   0.75,                0.01573,                0.00728,                 1.8789,                 4.3113,                  2.851,                      0,                      0,                      0
                      2,                 1.5113,                 4.7661,                 1.9869,                0.00568,                      1,                0.01615,                0.00726,                 1.9489,                 4.2864,                 2.9116,             1.5845e-05,             1.5845e-05,             1.5845e-05
                      3,                0.99431,                 3.3239,                 1.7674,                0.00567,                      1,                0.01864,                0.00761,                 1.9853,                 4.2431,                 2.9493,             3.0039e-05,             3.0039e-05,             3.0039e-05
                      4,                 1.7551,                 3.4057,                 2.1045,                0.00432,                   0.75,                0.02196,                0.00882,                 2.0025,                 4.1989,                 3.0051,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      5,                0.86237,                 3.1624,                 1.3695,                 0.0043,                   0.75,                0.02119,                0.00749,                 1.9484,                 4.2442,                  2.963,             5.3477e-05,             5.3477e-05,             5.3477e-05
                      6,                 1.7798,                 3.7118,                 2.0416,                0.00426,                   0.75,                0.03204,                0.02004,                 1.5783,                 4.0028,                 2.4436,             6.2721e-05,             6.2721e-05,             6.2721e-05
                      7,                  1.429,                 3.9097,                  1.823,                0.00428,                   0.75,                0.06161,                0.04834,                 1.3517,                 3.9071,                 2.2409,             7.0314e-05,             7.0314e-05,             7.0314e-05
                      8,                 1.7293,                 3.7302,                 2.2174,                0.00437,                   0.75,                0.15287,                0.11463,                 1.4617,                  3.913,                 2.2387,             7.6257e-05,             7.6257e-05,             7.6257e-05
                      9,                 1.7048,                 3.6076,                 1.9703,                0.00441,                   0.75,                0.32236,                0.22687,                 1.3717,                 3.9397,                 2.2032,             8.0549e-05,             8.0549e-05,             8.0549e-05
                     10,                 1.3383,                 3.0035,                 1.5639,                0.00442,                   0.75,                0.40318,                0.23683,                 1.3548,                 4.0341,                 2.1414,             8.3192e-05,             8.3192e-05,             8.3192e-05
                     11,                 1.6678,                 3.9732,                 2.2254,                0.00437,                   0.75,                0.38969,                0.23719,                 1.3676,                 4.0212,                 2.1551,             8.4183e-05,             8.4183e-05,             8.4183e-05
                     12,                 1.2916,                 3.9009,                 2.0588,                0.00424,                   0.75,                0.43305,                0.26569,                 1.2419,                 3.8988,                 1.9565,             8.3525e-05,             8.3525e-05,             8.3525e-05
                     13,                 1.1905,                 3.7229,                  2.118,                 0.0043,                   0.75,                0.49556,                0.35511,                 1.0215,                 3.8931,                 1.7863,             8.1216e-05,             8.1216e-05,             8.1216e-05
                     14,                 1.0805,                  3.935,                 1.8603,                0.00414,                   0.75,                0.45387,                0.35478,                0.96628,                 3.8367,                 1.7167,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     15,                 1.4207,                 3.8559,                  2.016,                0.00408,                   0.75,                0.49553,                0.40464,                0.85085,                  3.754,                 1.6573,             7.1648e-05,             7.1648e-05,             7.1648e-05
                     16,                 1.1662,                 3.7874,                 1.7198,                0.00404,                   0.75,                0.49553,                0.40464,                0.85127,                 3.7441,                 1.6524,             6.4388e-05,             6.4388e-05,             6.4388e-05
                     17,                0.98933,                 3.4446,                 1.7575,                0.00398,                   0.75,                0.48718,                0.38975,                0.81913,                 3.6575,                   1.58,             5.5478e-05,             5.5478e-05,             5.5478e-05
                     18,                0.93904,                 3.6374,                 1.7068,                0.00398,                   0.75,                0.48718,                0.38975,                0.81913,                 3.6575,                   1.58,             4.4917e-05,             4.4917e-05,             4.4917e-05
                     19,                0.91431,                 3.3251,                 1.6416,                0.00397,                   0.75,                0.48037,                0.38429,                0.80536,                 3.6562,                 1.5504,             3.2707e-05,             3.2707e-05,             3.2707e-05
                     20,                 1.4799,                 3.3763,                  2.114,                0.00397,                   0.75,                0.48037,                0.38429,                0.80536,                 3.6562,                 1.5504,             1.8845e-05,             1.8845e-05,             1.8845e-05
